dteday,season,yr,mnth,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weekday_name
2011-01-01,springer,2011,1,6,weekend,mist_cloudy,8.175849,7.99925,80.58330000000001,10.749882,331,654,985,Saturday
2011-01-02,springer,2011,1,0,weekend,mist_cloudy,9.083466000000001,7.3467740000000035,69.6087,16.652113,131,670,801,Sunday
2011-01-03,springer,2011,1,1,workday,clear,1.229108,-3.499270000000001,43.7273,16.636703,120,1229,1349,Monday
2011-01-04,springer,2011,1,2,workday,clear,1.4000000000000004,-1.9999479999999998,59.0435,10.739832,108,1454,1562,Tuesday
2011-01-05,springer,2011,1,3,workday,clear,2.6669789999999995,-0.8681800000000006,43.695699999999995,12.522300000000001,82,1518,1600,Wednesday
2011-01-06,springer,2011,1,4,workday,clear,1.6043559999999992,-0.6082059999999991,51.8261,6.0008684,88,1518,1606,Thursday
2011-01-07,springer,2011,1,5,workday,mist_cloudy,1.2365340000000007,-2.2166259999999998,49.8696,11.304642,148,1362,1510,Friday
2011-01-08,springer,2011,1,6,weekend,mist_cloudy,-0.24499999999999922,-5.291236,53.5833,17.875868,68,891,959,Saturday
2011-01-09,springer,2011,1,0,weekend,clear,-1.4983489999999993,-8.33245,43.416700000000006,24.25065,54,768,822,Sunday
2011-01-10,springer,2011,1,1,workday,clear,-0.9108490000000007,-6.041392,48.2917,14.958889,41,1280,1321,Monday
2011-01-11,springer,2011,1,2,workday,mist_cloudy,-0.0527230000000003,-3.3633760000000006,68.6364,8.182844000000001,43,1220,1263,Tuesday
2011-01-12,springer,2011,1,3,workday,clear,0.11816899999999997,-5.408782,59.954499999999996,20.410009,25,1137,1162,Wednesday
2011-01-13,springer,2011,1,4,workday,clear,-0.24499999999999922,-6.041722,47.0417,20.166999999999998,38,1368,1406,Thursday
2011-01-14,springer,2011,1,5,workday,clear,-0.43910999999999945,-3.5647420000000007,53.7826,8.478716,54,1367,1421,Friday
2011-01-15,springer,2011,1,6,weekend,mist_cloudy,2.9666510000000006,0.3753920000000015,49.875,10.583521,222,1026,1248,Saturday
2011-01-16,springer,2011,1,0,weekend,clear,2.888349,-0.5416779999999992,48.375,12.625010999999999,251,953,1204,Sunday
2011-01-17,springer,2011,1,1,weekend,mist_cloudy,0.264151,-4.333113999999998,53.75,12.999139,117,883,1000,Monday
2011-01-18,springer,2011,1,2,workday,mist_cloudy,2.1833489999999998,-0.6660219999999999,86.16669999999999,9.833924999999999,9,674,683,Tuesday
2011-01-19,springer,2011,1,3,workday,mist_cloudy,5.732177999999999,3.695852000000002,74.1739,13.957239,78,1572,1650,Wednesday
2011-01-20,springer,2011,1,4,workday,mist_cloudy,4.298349,0.8333000000000013,53.833299999999994,13.125568,83,1844,1927,Thursday
2011-01-21,springer,2011,1,5,workday,clear,0.34249999999999936,-5.583022,45.7083,23.667214,75,1468,1543,Friday
2011-01-22,springer,2011,1,6,weekend,clear,-5.2208711999999995,-10.7814064,40.0,11.52199,93,888,981,Saturday
2011-01-23,springer,2011,1,0,weekend,clear,-3.4634801,-9.4766194,43.6522,16.5222,150,836,986,Sunday
2011-01-24,springer,2011,1,1,workday,clear,-3.4226089,-8.21662,49.173899999999996,10.60811,86,1330,1416,Monday
2011-01-25,springer,2011,1,2,workday,mist_cloudy,2.5034660000000013,-0.5212839999999996,61.695699999999995,8.696332,186,1799,1985,Tuesday
2011-01-26,springer,2011,1,3,workday,light_snow,2.2225,-2.5624000000000002,86.25,19.68795,34,472,506,Wednesday
2011-01-27,springer,2011,1,4,workday,clear,1.165000000000001,-1.4998000000000005,68.75,7.627078999999999,15,416,431,Thursday
2011-01-28,springer,2011,1,5,workday,mist_cloudy,1.563466,-1.2610780000000013,79.30430000000001,8.2611,38,1129,1167,Friday
2011-01-29,springer,2011,1,6,weekend,clear,1.2365340000000007,-1.9996840000000002,65.17389999999999,9.739455,123,975,1098,Saturday
2011-01-30,springer,2011,1,0,weekend,clear,2.176534,0.5212520000000005,72.2174,4.956834199999999,140,956,1096,Sunday
2011-01-31,springer,2011,1,1,workday,mist_cloudy,0.49915099999999946,-3.7074999999999996,60.375,12.541864,42,1459,1501,Monday
2011-02-01,springer,2011,2,2,workday,mist_cloudy,1.032178,-0.52102,82.9565,3.565271,47,1313,1360,Tuesday
2011-02-02,springer,2011,2,3,workday,mist_cloudy,4.220000000000001,0.7915220000000005,77.5417,17.708636,72,1454,1526,Wednesday
2011-02-03,springer,2011,2,4,workday,clear,0.7869790000000005,-4.260052,43.7826,18.609384,61,1489,1550,Thursday
2011-02-04,springer,2011,2,5,workday,mist_cloudy,1.9312880000000003,-0.913257999999999,58.521699999999996,8.565213,88,1620,1708,Friday
2011-02-05,springer,2011,2,6,weekend,mist_cloudy,2.9666510000000006,0.041827999999998866,92.91669999999999,10.792293,100,905,1005,Saturday
2011-02-06,springer,2011,2,0,weekend,clear,5.434151,3.2502860000000027,56.833299999999994,9.5006,354,1269,1623,Sunday
2011-02-07,springer,2011,2,1,workday,clear,4.768348999999999,4.041428,73.83330000000001,3.0423561,120,1592,1712,Monday
2011-02-08,springer,2011,2,2,workday,clear,2.3791510000000002,-2.9157639999999994,53.7917,24.25065,64,1466,1530,Tuesday
2011-02-09,springer,2011,2,3,workday,mist_cloudy,-1.6651990000000003,-6.477322000000001,49.4783,12.652213,53,1552,1605,Wednesday
2011-02-10,springer,2011,2,4,workday,clear,-1.2156440000000002,-6.129832,43.7391,14.869645,47,1491,1538,Thursday
2011-02-11,springer,2011,2,5,workday,clear,0.887277000000001,-1.9084059999999994,50.6364,7.272849999999999,149,1597,1746,Friday
2011-02-12,springer,2011,2,6,weekend,clear,2.4574999999999996,-0.6250359999999997,54.4167,13.625589,288,1184,1472,Saturday
2011-02-13,springer,2011,2,0,weekend,clear,6.876534000000001,5.391458,45.7391,17.479160999999998,397,1192,1589,Sunday
2011-02-14,springer,2011,2,1,workday,clear,11.504999999999999,10.2911,37.583299999999994,27.999836,208,1705,1913,Monday
2011-02-15,springer,2011,2,2,workday,clear,4.506089000000001,0.7820840000000011,31.434800000000003,19.522058,140,1675,1815,Tuesday
2011-02-16,springer,2011,2,3,workday,clear,6.958267000000001,4.869199999999999,42.3478,16.869996999999998,218,1897,2115,Wednesday
2011-02-17,springer,2011,2,4,workday,clear,12.484151,12.291428,50.5,15.416968,259,2216,2475,Thursday
2011-02-18,springer,2011,2,5,workday,clear,16.518349,17.790878,51.6667,17.749975000000003,579,2348,2927,Friday
2011-02-19,springer,2011,2,6,weekend,clear,10.760849,9.832663999999998,18.7917,34.000021,532,1103,1635,Saturday
2011-02-20,springer,2011,2,0,weekend,clear,5.405199,2.3037799999999997,40.7826,14.956745,639,1173,1812,Sunday
2011-02-21,springer,2011,2,1,weekend,mist_cloudy,6.2566510000000015,2.7489500000000007,60.5,20.625682,195,912,1107,Monday
2011-02-22,springer,2011,2,2,workday,clear,0.5644340000000003,-3.7218219999999995,57.7778,13.110761,74,1376,1450,Tuesday
2011-02-23,springer,2011,2,3,workday,clear,2.4217329999999997,0.21732199999999935,42.3043,6.3055710000000005,139,1778,1917,Wednesday
2011-02-24,springer,2011,2,4,workday,mist_cloudy,5.895644000000001,3.0866059999999997,69.7391,16.783231999999998,100,1707,1807,Thursday
2011-02-25,springer,2011,2,5,workday,mist_cloudy,9.124355999999999,7.130426,71.2174,23.218113,120,1341,1461,Friday
2011-02-26,springer,2011,2,6,weekend,clear,5.277499999999998,2.6246720000000003,53.7917,12.500257,424,1545,1969,Saturday
2011-02-27,springer,2011,2,0,weekend,clear,8.143466,7.173193999999999,68.0,8.391615999999999,694,1708,2402,Sunday
2011-02-28,springer,2011,2,1,workday,mist_cloudy,11.141831,10.407787999999996,87.63640000000001,19.408962,81,1365,1446,Monday
2011-03-01,springer,2011,3,2,workday,clear,4.533348999999999,1.416013999999997,53.5,14.500475,137,1714,1851,Tuesday
2011-03-02,springer,2011,3,3,workday,clear,7.745000000000001,5.1246860000000005,44.9583,20.624811,231,1903,2134,Wednesday
2011-03-03,springer,2011,3,4,workday,clear,1.321651000000001,-2.7912219999999994,31.833299999999998,15.125518000000001,123,1562,1685,Thursday
2011-03-04,springer,2011,3,5,workday,mist_cloudy,4.298349,0.8748140000000006,61.0417,13.624182,214,1730,1944,Friday
2011-03-05,springer,2011,3,6,weekend,mist_cloudy,10.055848999999998,8.999413999999998,78.91669999999999,16.875357,640,1437,2077,Saturday
2011-03-06,springer,2011,3,0,weekend,mist_cloudy,9.696534,8.172632,94.8261,23.000229,114,491,605,Sunday
2011-03-07,springer,2011,3,1,workday,clear,4.3017330000000005,-0.26157399999999953,55.1304,22.870584,244,1628,1872,Monday
2011-03-08,springer,2011,3,2,workday,clear,5.747499999999999,3.958400000000001,42.0833,8.083549999999999,316,1817,2133,Tuesday
2011-03-09,springer,2011,3,3,workday,mist_cloudy,5.904151000000001,2.916127999999997,77.5417,14.750050000000002,191,1700,1891,Wednesday
2011-03-10,springer,2011,3,4,workday,light_snow,10.287277,9.454088000000002,0.0,17.545759,46,577,623,Thursday
2011-03-11,springer,2011,3,5,workday,mist_cloudy,6.876534000000001,4.129999999999999,64.95649999999999,15.60899,247,1730,1977,Friday
2011-03-12,springer,2011,3,6,weekend,clear,7.470848999999999,5.499499999999998,59.458299999999994,14.791924999999999,724,1408,2132,Saturday
2011-03-13,springer,2011,3,0,weekend,clear,10.064356,9.086006000000001,52.73910000000001,18.130468,982,1435,2417,Sunday
2011-03-14,springer,2011,3,1,workday,clear,7.285198999999999,5.912000000000003,49.695699999999995,9.174042,359,1687,2046,Monday
2011-03-15,springer,2011,3,2,workday,mist_cloudy,6.917376999999998,4.999748,65.5652,12.348703,289,1767,2056,Tuesday
2011-03-16,springer,2011,3,3,workday,mist_cloudy,9.165199000000001,8.217379999999999,77.65220000000001,13.608839,321,1871,2192,Wednesday
2011-03-17,springer,2011,3,4,workday,clear,11.504999999999999,11.081978,60.291700000000006,14.041792999999998,424,2320,2744,Thursday
2011-03-18,springer,2011,3,5,workday,clear,17.380000000000003,18.782593999999996,52.5217,15.478139,884,2355,3239,Friday
2011-03-19,springer,2011,3,6,weekend,clear,14.2075,14.790650000000003,37.9167,24.667189,1424,1693,3117,Saturday
2011-03-20,springer,2011,3,0,weekend,clear,7.627500000000001,5.499499999999998,47.375,13.917307,1047,1424,2471,Sunday
2011-03-21,summer,2011,3,1,workday,mist_cloudy,12.230445,11.04251,73.73910000000001,19.348461,401,1676,2077,Monday
2011-03-22,summer,2011,3,2,workday,clear,12.758348999999999,13.082372,62.4583,15.125250000000001,460,2243,2703,Tuesday
2011-03-23,summer,2011,3,3,workday,mist_cloudy,8.306979000000002,6.303974,83.9565,15.695487,203,1918,2121,Wednesday
2011-03-24,summer,2011,3,4,workday,mist_cloudy,5.395,1.8749779999999987,80.58330000000001,16.333729,166,1699,1865,Thursday
2011-03-25,summer,2011,3,5,workday,clear,4.415849,0.9165919999999979,49.5,15.458575000000002,300,1910,2210,Friday
2011-03-26,summer,2011,3,6,weekend,clear,4.494150999999999,0.9996860000000005,39.4167,14.041257,981,1515,2496,Saturday
2011-03-27,summer,2011,3,0,weekend,mist_cloudy,3.893021000000001,0.5223739999999992,49.3913,12.348099999999999,472,1221,1693,Sunday
2011-03-28,summer,2011,3,1,workday,clear,4.424356000000001,0.9998840000000015,30.2174,14.217668,222,1806,2028,Monday
2011-03-29,summer,2011,3,2,workday,clear,6.217499999999999,3.3319280000000013,31.4167,15.208732,317,2108,2425,Tuesday
2011-03-30,summer,2011,3,3,workday,mist_cloudy,6.1,3.6250999999999998,64.6667,11.583495999999998,168,1368,1536,Wednesday
2011-03-31,summer,2011,3,4,workday,light_snow,4.611651,0.9999499999999983,91.8333,14.582282000000001,179,1506,1685,Thursday
2011-04-01,summer,2011,4,5,workday,mist_cloudy,6.1,2.7079640000000005,68.625,17.333436,307,1920,2227,Friday
2011-04-02,summer,2011,4,6,weekend,mist_cloudy,6.805,4.832042000000001,65.375,13.208782,898,1354,2252,Saturday
2011-04-03,summer,2011,4,0,weekend,clear,9.781651,8.998622000000001,48.0,12.208271000000002,1651,1598,3249,Sunday
2011-04-04,summer,2011,4,1,workday,clear,18.946651,19.833314,42.625,25.833257,734,2381,3115,Monday
2011-04-05,summer,2011,4,2,workday,mist_cloudy,11.465848999999999,10.2911,64.2083,26.000488999999998,167,1628,1795,Tuesday
2011-04-06,summer,2011,4,3,workday,clear,10.369150999999999,9.582128,47.0833,17.625221,413,2395,2808,Wednesday
2011-04-07,summer,2011,4,4,workday,clear,12.5625,12.623936,60.291700000000006,10.874904,571,2570,3141,Thursday
2011-04-08,summer,2011,4,5,workday,mist_cloudy,7.784151,5.4156140000000015,83.625,15.208464,172,1299,1471,Friday
2011-04-09,summer,2011,4,6,weekend,mist_cloudy,8.0975,6.540914000000001,87.75,8.916561,879,1576,2455,Saturday
2011-04-10,summer,2011,4,0,weekend,mist_cloudy,12.053349,12.164641999999997,85.75,9.833389,1188,1707,2895,Sunday
2011-04-11,summer,2011,4,1,workday,mist_cloudy,19.995644,21.304322,71.6956,21.739758,855,2493,3348,Monday
2011-04-12,summer,2011,4,2,workday,mist_cloudy,15.617499999999996,16.541564,73.9167,18.416892999999998,257,1777,2034,Tuesday
2011-04-13,summer,2011,4,3,workday,mist_cloudy,11.3875,11.540678,81.91669999999999,16.791338999999997,209,1953,2162,Wednesday
2011-04-14,summer,2011,4,4,workday,clear,13.9725,14.540972,54.041700000000006,7.4169,529,2738,3267,Thursday
2011-04-15,summer,2011,4,5,weekend,clear,12.993348999999998,13.166258,67.125,15.167124999999999,642,2484,3126,Friday
2011-04-16,summer,2011,4,6,weekend,light_snow,12.249151000000001,12.082472,88.83330000000001,22.834136,121,674,795,Saturday
2011-04-17,summer,2011,4,0,weekend,clear,13.463349000000001,13.415935999999999,47.9583,20.334232,1558,2186,3744,Sunday
2011-04-18,summer,2011,4,1,workday,clear,16.0875,17.207636,54.25,10.958988999999999,669,2760,3429,Monday
2011-04-19,summer,2011,4,2,workday,mist_cloudy,15.774151,16.291028000000004,66.5833,10.584057,409,2795,3204,Tuesday
2011-04-20,summer,2011,4,3,workday,clear,19.965,21.249872000000003,61.4167,16.208975,613,3331,3944,Wednesday
2011-04-21,summer,2011,4,4,workday,clear,13.580849,13.956872,40.708299999999994,21.792286,745,3444,4189,Thursday
2011-04-22,summer,2011,4,5,workday,mist_cloudy,7.823349,5.248964000000001,72.9583,14.707906999999999,177,1506,1683,Friday
2011-04-23,summer,2011,4,6,weekend,mist_cloudy,13.620000000000001,13.707985999999998,88.79169999999999,15.458575000000002,1462,2574,4036,Saturday
2011-04-24,summer,2011,4,0,weekend,mist_cloudy,19.338349,20.416358000000002,81.08330000000001,12.875725000000001,1710,2481,4191,Sunday
2011-04-25,summer,2011,4,1,workday,clear,20.513348999999998,21.917,77.6667,12.417311,773,3300,4073,Monday
2011-04-26,summer,2011,4,2,workday,clear,21.688349,23.209478000000004,72.9167,21.875500000000002,678,3722,4400,Tuesday
2011-04-27,summer,2011,4,3,workday,mist_cloudy,21.14,21.959372000000002,83.54169999999999,20.917399999999997,547,3325,3872,Wednesday
2011-04-28,summer,2011,4,4,workday,mist_cloudy,21.0225,22.209314,70.08330000000001,21.500836000000003,569,3489,4058,Thursday
2011-04-29,summer,2011,4,5,workday,clear,15.969999999999999,16.832558,45.7083,16.084221,878,3717,4595,Friday
2011-04-30,summer,2011,4,6,weekend,clear,14.2075,14.625386000000002,50.3333,15.750025,1965,3347,5312,Saturday
2011-05-01,summer,2011,5,0,weekend,mist_cloudy,13.228348999999998,13.581464,76.2083,7.125718,1138,2213,3351,Sunday
2011-05-02,summer,2011,5,1,workday,mist_cloudy,17.810848999999997,19.166978,73.0,12.291418,847,3554,4401,Monday
2011-05-03,summer,2011,5,2,workday,mist_cloudy,20.983348999999997,22.417214,69.7083,22.958689,603,3848,4451,Tuesday
2011-05-04,summer,2011,5,3,workday,mist_cloudy,11.465848999999999,10.706900000000001,73.70830000000001,22.042732,255,2378,2633,Wednesday
2011-05-05,summer,2011,5,4,workday,clear,13.580849,13.166522,44.4167,19.791263999999998,614,3819,4433,Thursday
2011-05-06,summer,2011,5,5,workday,clear,14.520849000000002,15.291722,59.0,15.292482,894,3714,4608,Friday
2011-05-07,summer,2011,5,6,weekend,clear,16.44,17.832986,54.125,10.750150000000001,1612,3102,4714,Saturday
2011-05-08,summer,2011,5,0,weekend,clear,16.831651,18.249578,63.1667,5.0007125,1401,2932,4333,Sunday
2011-05-09,summer,2011,5,1,workday,clear,17.0275,18.666235999999998,58.875,11.792,664,3698,4362,Monday
2011-05-10,summer,2011,5,2,workday,clear,17.0275,18.499586,48.9167,7.749956999999999,694,4109,4803,Tuesday
2011-05-11,summer,2011,5,3,workday,clear,17.4975,18.8744,63.29169999999999,8.083014,550,3632,4182,Wednesday
2011-05-12,summer,2011,5,4,workday,clear,17.145000000000003,18.541958,74.75,12.707689,695,4169,4864,Thursday
2011-05-13,summer,2011,5,5,workday,mist_cloudy,16.0875,16.623800000000003,86.33330000000001,12.041575,692,3413,4105,Friday
2011-05-14,summer,2011,5,6,weekend,mist_cloudy,16.479150999999998,17.041514,92.25,9.041649999999999,902,2507,3409,Saturday
2011-05-15,summer,2011,5,0,weekend,mist_cloudy,18.4375,19.376000000000005,86.70830000000001,10.249593,1582,2971,4553,Sunday
2011-05-16,summer,2011,5,1,workday,clear,19.142500000000002,20.333792000000003,78.79169999999999,8.500357000000001,773,3185,3958,Monday
2011-05-17,summer,2011,5,2,workday,mist_cloudy,18.398349,19.542914000000003,83.7917,18.582718,678,3445,4123,Tuesday
2011-05-18,summer,2011,5,3,workday,mist_cloudy,17.85,18.792428,87.0,13.499964,536,3319,3855,Wednesday
2011-05-19,summer,2011,5,4,workday,mist_cloudy,16.949151,17.708972000000003,82.9583,7.250271000000001,735,3840,4575,Thursday
2011-05-20,summer,2011,5,5,workday,clear,17.223349,18.916772,71.9583,8.375871,909,4008,4917,Friday
2011-05-21,summer,2011,5,6,weekend,clear,20.317500000000003,21.750349999999997,62.6667,8.083549999999999,2258,3547,5805,Saturday
2011-05-22,summer,2011,5,0,weekend,clear,20.395849000000002,21.917,74.9583,9.916536,1576,3084,4660,Sunday
2011-05-23,summer,2011,5,1,workday,mist_cloudy,21.688349,22.959536,81.0,15.667413999999999,836,3438,4274,Monday
2011-05-24,summer,2011,5,2,workday,mist_cloudy,23.020000000000003,23.917658000000003,74.0833,13.875164,659,3833,4492,Tuesday
2011-05-25,summer,2011,5,3,workday,clear,23.059151,24.625772000000005,69.625,10.333611000000001,740,4238,4978,Wednesday
2011-05-26,summer,2011,5,4,workday,clear,25.291651,27.209408000000003,67.75,13.376014,758,3919,4677,Thursday
2011-05-27,summer,2011,5,5,workday,clear,24.038349000000004,26.042528000000004,65.375,16.125493,871,3808,4679,Friday
2011-05-28,summer,2011,5,6,weekend,clear,22.824151,24.417014,72.9583,15.416164,2001,2757,4758,Saturday
2011-05-29,summer,2011,5,0,weekend,clear,23.3725,24.6263,81.875,14.333846,2355,2433,4788,Sunday
2011-05-30,summer,2011,5,1,weekend,clear,26.466651,28.292072000000005,68.5,8.792075,1549,2549,4098,Monday
2011-05-31,summer,2011,5,2,workday,clear,28.425000000000004,31.875278,63.6667,7.459042999999999,673,3309,3982,Tuesday
2011-06-01,summer,2011,6,3,workday,mist_cloudy,27.915849,31.583822000000005,67.7083,13.875164,513,3461,3974,Wednesday
2011-06-02,summer,2011,6,4,workday,clear,25.604999999999997,26.500172,30.5,19.583229000000003,736,4232,4968,Thursday
2011-06-03,summer,2011,6,5,workday,clear,21.14,22.750778000000004,35.4167,16.959107,898,4414,5312,Friday
2011-06-04,summer,2011,6,6,weekend,clear,21.845,23.249935999999998,45.625,8.250514,1869,3473,5342,Saturday
2011-06-05,summer,2011,6,0,weekend,mist_cloudy,22.471651,24.709063999999998,65.25,9.292364000000001,1685,3221,4906,Sunday
2011-06-06,summer,2011,6,1,workday,clear,23.881650999999998,25.042628,60.0,8.167032,673,3875,4548,Monday
2011-06-07,summer,2011,6,2,workday,clear,25.252499999999998,27.292700000000004,59.791700000000006,12.583136,763,4070,4833,Tuesday
2011-06-08,summer,2011,6,3,workday,clear,28.464151,32.000414,62.20830000000001,9.166739,676,3725,4401,Wednesday
2011-06-09,summer,2011,6,4,workday,mist_cloudy,29.991650999999997,34.000214,56.833299999999994,10.042161,563,3352,3915,Thursday
2011-06-10,summer,2011,6,5,workday,clear,27.485,30.417272000000004,60.5,9.417118,815,3771,4586,Friday
2011-06-11,summer,2011,6,6,weekend,clear,26.074999999999996,28.750508000000004,65.45830000000001,10.374949999999998,1729,3237,4966,Saturday
2011-06-12,summer,2011,6,0,weekend,clear,24.5475,26.459450000000004,74.7917,10.958988999999999,1467,2993,4460,Sunday
2011-06-13,summer,2011,6,1,workday,clear,21.845,23.709164,49.4583,20.45845,863,4157,5020,Monday
2011-06-14,summer,2011,6,2,workday,clear,20.395849000000002,23.042036000000003,50.708299999999994,18.041961,727,4164,4891,Tuesday
2011-06-15,summer,2011,6,3,workday,clear,21.453349,22.791764,47.1667,11.250104,769,4411,5180,Wednesday
2011-06-16,summer,2011,6,4,workday,mist_cloudy,21.531651,23.292836,68.8333,13.833556999999999,545,3222,3767,Thursday
2011-06-17,summer,2011,6,5,workday,clear,22.510849000000004,23.625278,73.5833,9.582942999999998,863,3981,4844,Friday
2011-06-18,summer,2011,6,6,weekend,clear,24.743349000000002,26.500964000000003,67.0417,8.000336,1807,3312,5119,Saturday
2011-06-19,summer,2011,6,0,weekend,mist_cloudy,24.860849,26.625836,66.6667,6.834,1639,3105,4744,Sunday
2011-06-20,summer,2011,6,1,workday,mist_cloudy,21.845,23.292836,74.625,10.416825,699,3311,4010,Monday
2011-06-21,fall,2011,6,2,workday,mist_cloudy,23.999151,26.084636000000003,77.0417,11.458675000000001,774,4061,4835,Tuesday
2011-06-22,fall,2011,6,3,workday,clear,26.466651,29.792714000000004,70.75,11.541554,661,3846,4507,Wednesday
2011-06-23,fall,2011,6,4,workday,mist_cloudy,26.231651,29.792978000000005,70.3333,15.999868,746,4044,4790,Thursday
2011-06-24,fall,2011,6,5,workday,clear,26.035849,27.334478000000004,57.3333,14.875675,969,4022,4991,Friday
2011-06-25,fall,2011,6,6,weekend,clear,24.665,26.458658,48.3333,14.041257,1782,3420,5202,Saturday
2011-06-26,fall,2011,6,0,weekend,clear,23.96,26.083514,51.3333,6.3337311,1920,3385,5305,Sunday
2011-06-27,fall,2011,6,1,workday,mist_cloudy,24.0775,26.042264000000003,65.8333,7.2083960000000005,854,3854,4708,Monday
2011-06-28,fall,2011,6,2,workday,clear,26.975849000000004,29.708827999999997,63.416700000000006,9.666960999999999,732,3916,4648,Tuesday
2011-06-29,fall,2011,6,3,workday,clear,26.231651,27.209408000000003,49.7917,17.542007,848,4377,5225,Wednesday
